Name Wetland,ID,Area,Species,Species normalized,Longitude in decimal,Latitude in decimal,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,TP,NOXN,bod,ec
Chippenham Fen,11,1.12,251,224.1071429,0.458333,52.2917,0.000928617,9.15429,0.261603,1.46709,414.95,37.1056,0.459976584,2.4738913,2.099886745,403.4777657
Colne Estuary,12,27.01,227,8.404294706,0.958333,51.7917,0.000289124,4.04441,0.491728,0.142922,1.00E+31,1.00E+31,0.497195523,2.8185575,2.195766158,435.5002585
Crouch and Roach Estuaries,13,17.36,132,7.603686636,0.708333,51.625,0.000839483,8.45852,0.291186,1.06641,1514.88,11.0377,0.497195523,2.8185575,2.195766158,435.5002585
Deben Estuary,14,9.79,1131,115.526047,1.375,52.0417,0.000556093,8.06854,0.457585,4.46762,368.685,39.6185,0.46811867,2.984008,2.443425285,458.4885842
The Dee Estuary,15,131.31,1419,10.80648846,-3.20833,53.2917,0.00163729,24.8172,0.38136,1.05814,1.00E+31,1.00E+31,0.199056034,1.2069054,1.860465106,151.6382819
Dengie,16,31.27,116,3.709625839,0.958333,51.7083,1.00E+31,0.865895,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.497195523,2.8185575,2.195766158,435.5002585
Dersingham Bog,17,1.58,448,283.5443038,0.458333,52.875,0.00113482,2.66575,0.250245,1.83151,385.569,28.2359,0.360990041,2.749294,2.391972373,381.7264243
Dorset Heathlands,18,67.3,2001,29.73254086,-2.20833,50.625,0.00154095,30.0845,0.342714,0.969176,530.476,48.6306,0.366214204,3.421175,2.05851218,361.124809
Duddon Estuary,19,68.06,1017,14.94269762,-3.29167,54.2083,0.00212278,18.8521,0.563031,1.24826,1.00E+31,1.00E+31,0.13012554,0.8654093,1.628555782,96.91966963
Esthwaite Water,20,1.37,67,48.90510949,-2.95833,54.375,0.00308534,34.1429,0.223293,14.4609,101.002,1.73437,0.162171398,1.8705945,1.666724415,185.6924345
Exe Estuary,21,23.46,1405,59.88917306,-3.45833,50.625,0.00170019,11.852,0.375168,1.14578,1.00E+31,1.00E+31,0.340610857,2.999685769,1.962188301,311.2905097
Foulness,22,109.33,80,0.731729626,0.958333,51.5417,1.00E+31,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.497195523,2.8185575,2.195766158,435.5002585
Gibraltar Point,23,4.14,122,29.46859903,0.375,53.125,1.00E+31,0.682561,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.426015606,2.313132,2.033372021,287.5666412
Hamford Water,24,21.87,162,7.407407407,1.20833,51.875,0.000852329,8.61157,0.266059,0.574644,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Holburn Lake and Moss,25,0.28,3,10.71428571,-1.95833,55.625,0.000360853,28.9479,0.567648,0.201082,66.3995,1.38373,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Humber Estuary,26,379.88,1487,3.914394019,-0.125,53.625,1.00E+31,1.27134,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.622696927,2.9918084,2.419256164,586.6047322
Irthinghead Mires,27,7.92,240,30.3030303,-2.54167,55.125,0.0028449,48.2673,0.193752,1.61843,78.6043,1.14303,0.076966252,0.47366846,1.618901806,142.1587445
Isles of Scilly,28,40.2,1700,42.28855721,-6.375,49.9583,0.00219406,0.84235,0.18127,1.41225,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lee Valley,29,44.8,1074,23.97321429,-0.0416667,51.625,0.00125449,6.04142,0.186681,10.3881,837.089,7.32796,0.545471039,4.1061344,2.354748475,601.5847535
Leighton Moss,30,1.29,206,159.6899225,-2.79167,54.2083,0.00324499,15.7824,0.217543,5.80426,170.902,10.7909,0.162171398,1.8705945,1.666724415,185.6924345
Lindisfarne,31,36.79,789,21.44604512,-1.875,55.7083,1.00E+31,0.678362,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Derwent Valley,32,9.15,537,58.68852459,-0.958333,53.875,0.000666779,3.82789,0.41143,1.52887,296.702,11.5608,0.427547064,3.7022612,2.954961932,578.2532804
Malham Tarn,33,2.86,509,177.972028,-2.20833,54.125,0.00306055,64.3653,0.189864,1.78327,155.012,2.15733,0.064320286,0.48773336,1.481766193,128.1514667
Martin Mere,34,1.2,73,60.83333333,-2.875,53.625,0.00129152,3.41888,0.621606,0.877067,908.007,20.6889,0.351905959,2.151955,2.155156842,310.5089869
Medway Estuary and Marshes,35,46.97,110,2.341920375,0.625,51.375,0.00113288,13.0395,0.245019,0.96974,5270.1,22.0819,0.434334026,2.5724187,2.005312015,374.5151183
Mersey Estuary,36,50.33,1323,26.28650904,-2.875,53.2917,0.00159129,3.54295,0.242992,1.90695,3139.75,7.76433,0.480861405,2.9690993,2.257158564,395.8348011
Midland Meres and Mosses (Phase 1),37,5.11,905,177.1037182,-2.79167,52.9583,0.00151178,11.0668,0.241633,0.91886,1.00E+31,1.00E+31,0.433845895,3.856505625,2.335331139,450.4029996
Midland Meres and Mosses (Phase 2),38,15.88,858,54.0302267,-2.79167,52.9583,0.00151178,11.0668,0.241633,0.91886,1.00E+31,1.00E+31,0.433845895,3.856505625,2.335331139,450.4029996
Minsmere-Walberswick,39,20.19,3224,159.6830114,1.625,52.2917,0.000160338,6.67911,0.564856,0.664841,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Morecambe Bay,40,374.05,1696,4.534153188,-2.95833,54.0417,1.00E+31,0.0453815,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.162171398,1.8705945,1.666724415,185.6924345
Nene Washes,41,15.17,161,10.61305208,-0.0416667,52.625,0.00114156,1.4408,0.239418,2.59248,403.096,25.6136,0.607093427,3.0975988,2.317924522,501.2539325
The New Forest,42,16.12,1414,87.71712159,-1.625,50.875,0.00164566,24.3148,0.277061,1.02667,561.546,95.0578,0.385643796,3.4307911,2.081622015,290.9994091
North Norfolk Coast,43,78.87,1740,22.06162039,0.791667,52.9583,0.00086329,12.7428,0.379907,0.567908,290.509,31.9452,0.363324264,1.9237429,2.061848253,378.5540779
Northumbria Coast,44,11.08,1050,94.76534296,-1.625,55.375,0.000862519,19.6142,0.431572,11.2763,171.05,6.28557,0.218789841,1.3195727,1.585628176,155.6827226
Ouse Washes,45,24.69,465,18.83353584,0.208333,52.4583,0.00107396,2.86877,0.239307,0.589029,1.00E+31,1.00E+31,0.459976584,2.4738913,2.099886745,403.4777657
Pagham Harbour,46,6.37,756,118.6813187,-0.791667,50.7917,0.0013254,2.7909,0.361698,2.52225,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Pevensey Levels,47,35.78,160,4.47177194,0.375,50.875,0.0014256,13.6925,0.341785,0.891155,1.00E+31,1.00E+31,0.14029721,0.9389975,1.980667714,86.25796761
Poole Harbour,48,24.39,801,32.84132841,-2.125,50.7083,0.00162098,11.2496,0.283869,4.33036,1800.63,129.88,0.366214204,3.421175,2.05851218,361.124809
Portsmouth Harbour,49,12.49,72,5.764611689,-1.125,50.875,0.00135986,19.1351,0.2418,4.6055,1294.89,8.31557,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Redgrave and South Lopham Fens,50,1.27,616,485.0393701,1.04167,52.375,0.0010741,15.9015,0.245523,0.688121,1133.95,411.874,0.46811867,2.984008,2.443425285,458.4885842
Ribble and Alt Estuaries,51,134.64,2563,19.03594771,-3.04167,53.7083,1.00E+31,0.452441,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.351905959,2.151955,2.155156842,310.5089869
Rostherne Mere,52,0.8,122,152.5,-2.375,53.375,0.00222465,7.81312,0.196421,1.54509,4302.21,13.5317,0.412606458,4.307964,2.202782851,364.2367673
Roydon Common,53,1.94,614,316.4948454,0.541667,52.7917,0.00116201,12.9148,0.301778,0.700897,504.681,96.1348,0.360990041,2.749294,2.391972373,381.7264243
Rutland Water,54,13.6,565,41.54411765,-0.708333,52.625,0.00110152,27.4809,0.357189,1.89872,1.00E+31,1.00E+31,0.465724152,3.8983347,2.354567347,538.1296793
Severn Estuary,55,247.01,3962,16.03983644,-2.54167,51.7083,0.00180724,17.6326,0.289035,1.19606,1684.49,77.1797,0.239923638,2.22939566,2.056404778,280.9503701
Solent and Southampton Water,56,54.15,1108,20.46168052,-1.54167,50.7917,0.00152385,18.0392,0.319787,2.33878,2266.5,106.682,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Somerset Levels and Moors,57,63.88,1301,20.36631183,-2.875,51.125,0.000785106,13.4594,0.65304,0.484925,830.822,400.492,0.272070131,2.239863121,2.084107029,298.7883352
South West London Waterbodies,58,82.8,35,0.422705314,-0.541667,51.4583,0.00144766,7.79011,0.224699,69.3286,394.34,4.55984,0.545471039,4.1061344,2.354748475,601.5847535
Stodmarsh,59,4.81,131,27.23492723,1.20833,51.2917,0.000906489,10.1107,0.437038,13.3112,343.2,6.14218,0.486904597,2.1845155,2.113242019,275.3822814
Stour and Orwell Estuaries,60,33.24,1446,43.50180505,1.20833,51.9583,0.000819554,11.3013,0.281127,0.468506,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
The Mersey Narrows and North Wirral Foreshore,61,20.78,271,13.04138595,-3.125,53.4583,1.00E+31,0.210184,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.199056034,1.2069054,1.860465106,151.6382819
The Swale,62,65.15,317,4.865694551,0.875,51.375,0.00107853,9.14371,0.316443,0.622854,1.00E+31,1.00E+31,0.434334026,2.5724187,2.005312015,374.5151183
Thames Estuary and Marshes,63,55.89,149,2.665950975,0.625,51.4583,0.00104494,5.54633,0.33502,0.575505,1.00E+31,1.00E+31,0.434334026,2.5724187,2.005312015,374.5151183
Thanet Coast and Sandwich Bay,64,21.69,466,21.48455509,1.375,51.2917,0.00106395,3.44998,0.386045,18.709,157.102,4.30604,0.486904597,2.1845155,2.113242019,275.3822814
Thursley and Ockley Bog,65,2.65,151,56.98113208,-0.708333,51.2083,0.00145333,18.9363,0.269767,7.42111,1325.49,20.0215,0.52045367,3.841011,2.313844181,515.1525454
Upper Nene Valley Gravel Pits,66,13.85,588,42.45487365,-0.541667,52.375,0.00116264,17.7313,0.236897,1.465,1.00E+31,1.00E+31,0.800902088,5.5035825,2.253907222,552.0711961
Upper Solway Flats and Marshes,67,436.37,1330,3.047872219,-3.45833,54.875,1.00E+31,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.104655925,1.0192432,1.703464362,163.3396407
Walmore Common,68,0.53,111,209.4339623,-2.375,51.7917,0.000519708,5.09841,0.660091,168.417,486.801,3.15027,0.455185759,5.494063736,2.231563633,511.6547124
The Wash,69,622.12,1384,2.224651193,0.291667,52.9583,1.00E+31,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.360990041,2.749294,2.391972373,381.7264243
Wicken Fen,70,2.54,844,332.2834646,0.291667,52.2917,0.0011345,3.85804,0.219991,0.823325,540.784,17.8801,0.459976584,2.4738913,2.099886745,403.4777657
Woodwalton Fen,71,2.08,163,78.36538462,-0.208333,52.4583,0.00104951,2.94341,0.261816,0.63313,1.00E+31,1.00E+31,0.607093427,3.0975988,2.317924522,501.2539325
